Scale,Iterations
10,13
10,6
10,12
10,8
10,7
10,5
10,7
10,14
10,15
10,4
10,3
10,5
10,10
10,4
10,12
10,12
10,8
10,8
10,13
10,7
10,5
10,9
10,13
10,5
10,13
10,4
10,2
10,13
10,4
10,21
30,76
30,45
30,55
30,31
30,105
30,87
30,52
100,382
100,74
100,74
100,37
100,106
100,190
100,49
100,36
100,157
100,71
100,89
100,87
100,90
100,32
100,48
100,447
100,50
100,40
100,53
100,86
100,75
100,252
100,78
100,69
100,61
100,155
100,332
100,29
100,144
300,145
300,934
300,238
300,89
300,357
300,43
300,503
300,81
300,503
300,1348
300,720
300,965
300,115
300,298
300,52
300,149
